time,FLOW,TEMP,SALT,OXY_oxy,NIT_amm,NIT_nit,PHS_frp,OGM_doc,OGM_docr,OGM_poc,OGM_don,OGM_donr,OGM_pon,OGM_dop,OGM_dopr,OGM_pop,CAR_dic,CAR_pH,SIL_rsi,CAR_ch4,PHY_cyano,PHY_cyano_IN,PHY_cyano_IP,PHY_green,PHY_green_IN,PHY_green_IP,PHY_diatom,PHY_diatom_IN,PHY_diatom_IP
2015-09-23,8.74748,17.63325,0,276.1832,0,0.23345,0.015300000000000001,18.2780955,583.6707,34.1328,2.0447,18.4027,4.0895,0.0256,0.2307,0.5981,59.246,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-24,6.12332,17.39295,0,277.0996,0.3511,0.46445000000000003,0.04785,9.169146,292.796,17.1226,0.7598,6.8383,1.5196,0.0212,0.1909,0.4949,62.4058,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-25,5.018019999999999,17.1558,0,278.0093,0.5302,0.34509999999999996,0.0219,12.075147,385.5927,22.5493,0.4487,4.0383,0.8974,0.0169,0.1524,0.3952,81.3847,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-26,11.5808,16.58325,0,280.2272,0,0.50505,0.08925,13.8745215,443.0518,25.9095,1.4645,13.1805,2.929,0.0576,0.5188,1.345,69.7833,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-27,20.003059999999998,16.9659,0,278.7413,1.0506,0.07105,0.0531,6.6395385,212.0189,12.3988,1.4027,12.6245,2.8054,0.0129,0.1165,0.3019,59.4006,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-28,14.93436,18.77985,0,271.8848,0,0.4158,0.052500000000000005,14.443852499999998,461.2325,26.9727,1.1007,9.9067,2.2015,0.0084,0.0756,0.196,55.3618,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-29,26.92844,18.9279,0,271.3382,0,0.5999,0.14024999999999999,10.343182500000001,330.2863,19.315,0.5078,4.5699,1.0155,0.0086,0.077,0.1997,64.3892,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-09-30,18.84988,19.73265,0,268.4026,0.7959,0.6251,0.14895,12.356064,394.5636,23.0739,1.1309,10.1784,2.2619,0.001,0.0091,0.0237,54.3481,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-01,13.195,18.366,0,273.4227,0.7262,0.55545,0,13.039141500000001,416.3761,24.3495,0.652,5.8678,1.3039,0.029,0.2607,0.6759,62.2829,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-02,15.4861,15.9918,0,282.5518,1.0086,0.27265,0,8.099406,258.6368,15.125,0.6317,5.6851,1.2634,0.0059,0.0532,0.1379,53.8097,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-03,18.76126,14.3895,0,289.0262,0.5236,0.42874999999999996,0.0171,13.8256335,441.491,25.8182,1.1827,10.6447,2.3655,0.0322,0.2896,0.7509,105.0763,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-04,13.72952,14.81325,0,287.2884,0.5182,0.12004999999999999,0.028950000000000004,2.5107705,80.1758,4.6886,0.8994,8.0948,1.7988,0.0449,0.4041,1.0476,69.2073,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-05,9.610719999999999,14.91585,0,286.8709,1.0569,0.42735,0,16.2406125,518.6075,30.3279,0.7428,6.6851,1.4856,0.0174,0.1565,0.4058,82.3372,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-06,6.7274199999999995,15.1623,0,285.8709,0.1444,0.45220000000000005,0.012750000000000001,4.960494,158.4028,9.2633,0.9167,8.2504,1.8334,0.0645,0.5809,1.506,59.6007,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-07,4.70918,16.45215,0,280.7396,0.4247,0.41125,0.03105,3.4300664999999997,109.5318,6.4054,1.102,9.9177,2.2039,0.0231,0.2079,0.539,62.676,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-08,3.29644,17.28345,0,277.519,0.7853,0.3647,0,7.673903999999999,245.0486,14.3303,0.4925,4.4328,0.9851,3e-4,0.0028,0.0072,70.4286,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-09,3.8295599999999994,17.89275,0,275.1997,0.1946,0.35595,0,13.1729535,420.6489,24.5994,0.4665,4.1989,0.9331,0,0,0,86.6435,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-10,4.07778,16.4262,0,280.8411,0.8257,0.4032,0.01815,0.590373,18.852,1.1025,0.5496,4.9468,1.0993,0.0648,0.5836,1.5129,75.9306,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-11,2.8544599999999996,15.73785,0,283.561,0.6552,0.2765,0.07725,9.8522865,314.6111,18.3983,0.8536,7.6828,1.7073,0.0467,0.4203,1.0897,71.0597,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-12,1.9980799999999999,16.1655,0,281.8659,0.1524,0.30065000000000003,0.12045,13.187412,421.1103,24.6263,0.9307,8.3767,1.8615,-0.0024,-0.0217,-0.0562,88.8894,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-13,1.3987399999999999,16.5171,0,280.4859,0.2957,0.21385,0,9.573354,305.7037,17.8774,0.3183,2.8643,0.6365,0.0456,0.4103,1.0638,80.5905,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-14,0.97902,15.6891,0,283.7554,1.2719,0.24395,0.0633,11.7322065,374.6414,21.9089,1.0585,9.5267,2.117,0.003,0.0273,0.0707,59.0849,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-15,0.6852999999999999,14.75535,0,287.5251,0.7532,0.40775,0,3.8653334999999998,123.4306,7.2182,1.5956,14.3602,3.1912,0,0,0,53.416,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-16,0.47978,14.4315,0,288.853,0,0.29469999999999996,0.1062,7.5362805,240.654,14.0733,1.4454,13.0088,2.8908,0.056,0.5039,1.3063,69.5225,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-17,0.33586,12.57225,0,296.6966,0.7193,0.413,0.06675,8.5071735,271.6581,15.8864,0.547,4.9226,1.0939,0.0451,0.4055,1.0513,44.6114,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-18,0.23505999999999996,11.00595,0,303.6034,0.5605,0.28735,0.0843,11.551428,368.8688,21.5713,0.8143,7.3283,1.6285,0.0347,0.3121,0.8092,33.6961,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
2015-10-19,0.16449999999999998,10.7157,0,304.9151,0,0.1603,0,11.6763255,372.8575,21.8045,1.1029,9.9262,2.2058,0.0582,0.5239,1.3583,74.5168,6.65,82.1513,0.7118,0,0,0,0,0,0,0,0,0
